代码,名称,主题,最新价,成交额
sh513120,港股创新药ETF广发,港股创新药ETF,1.364,8180775244
sh513310,中韩半导体ETF华泰柏瑞,中韩半导体ETF,4.9,6342093887
sh588170,科创半导体ETF华夏,科创半导体ETF,1.012,5555572448
sh513090,香港证券ETF易方达,香港证券ETF,1.809,3110352102
sz159516,半导体设备ETF国泰,半导体设备ETF,0.724,2912222868
sh515880,通信ETF国泰,通信ETF,0.712,2876668741
sz159570,港股通创新药ETF汇添富,港股通创新药ETF,1.49,2194439749
sh588200,科创芯片ETF嘉实,科创芯片ETF,1.187,2034675602
sh520500,恒生创新药ETF华泰柏瑞,恒生创新药ETF,1.448,1738221563
sh513130,恒生科技ETF华泰柏瑞,恒生科技ETF,0.545,1574620675
sh512880,证券ETF国泰,证券ETF,1.068,1414051281
sh588710,科创半导体设备ETF华泰柏瑞,科创半导体设备ETF,1.046,1395234319
sh513330,恒生互联网ETF华夏,恒生互联网ETF,0.351,1310154336
sz159792,港股通互联网ETF富国,港股通互联网ETF,0.545,1298366040
sz159992,创新药ETF银华,创新药ETF,0.869,1202890074
sz159131,港股通信息技术ETF华宝,港股通信息技术ETF,0.98,1140765176
sh589720,科创创新药ETF国泰,科创创新药ETF,0.923,1014664358
sh512480,半导体ETF国联安,半导体ETF,1.044,988595970
sz159892,恒生医药ETF华夏,恒生医药ETF,0.838,933658364
sh512800,银行ETF华宝,银行ETF,0.839,827157247
sh512000,券商ETF华宝,券商ETF,0.51,763229242
sh515220,煤炭ETF国泰,煤炭ETF,1.282,711278574
sz159995,芯片ETF华夏,芯片ETF,1.157,706126643
sh513060,恒生医疗ETF博时,恒生医疗ETF,0.596,668687119
sz159506,港股通创新药医疗ETF富国,港股通创新药医疗ETF,1.339,666522707
sh512170,医疗ETF华宝,医疗ETF,0.348,533038230
sh512010,医药ETF易方达,医药ETF,0.386,522727063
sz159530,机器人ETF易方达,机器人ETF,1.311,518323018
sh520510,港股通医疗ETF华夏,港股通医疗ETF,0.997,458703970
sh512400,有色金属ETF南方,有色金属ETF,1.729,433806721
sz159366,港股医疗ETF永赢,港股医疗ETF,1.522,402074810
sz159326,电网设备ETF华夏,电网设备ETF,1.69,397971376
sh513750,港股通非银ETF广发,港股通非银ETF,1.519,388654583
sh512200,房地产ETF南方,房地产ETF,1.282,385425820
sh513190,港股通金融ETF华夏,港股通金融ETF,1.861,374787798
sz159819,人工智能ETF易方达,人工智能ETF,1.78,369566684
sz159870,化工ETF鹏华,化工ETF,0.779,364523516
sh512690,酒ETF鹏华,酒ETF,0.416,360276359
sz159206,卫星ETF永赢,卫星ETF,1.389,321818766
sz159869,游戏ETF华夏,游戏ETF,1.088,321616715
sz159980,有色ETF大成,有色ETF,2.169,293061171
sh513300,纳斯达克ETF华夏,纳斯达克ETF,2.729,291931878
sz159851,金融科技ETF华宝,金融科技ETF,0.615,290156462
sh512070,证券保险ETF易方达,证券保险ETF,0.788,285207186
sz159513,纳斯达克100ETF大成,纳斯达克100ETF,1.835,276151027
sh512710,军工龙头ETF富国,军工龙头ETF,0.647,264777216
sh513980,港股科技ETF景顺,港股科技ETF,0.591,260550325
sh513770,港股互联网ETF华宝,港股互联网ETF,0.337,250966315
sz159732,消费电子ETF华夏,消费电子ETF,1.377,248662579
sh512660,军工ETF国泰,军工ETF,1.176,246256292
sz159262,港股通科技ETF广发,港股通科技ETF,0.82,245565807
sz159865,养殖ETF国泰,养殖ETF,0.543,244651345
sz159852,软件ETF嘉实,软件ETF,0.665,233306678
sz159859,生物医药ETF天弘,生物医药ETF,0.406,231248705
sh589070,科创芯片设计ETF天弘,科创芯片设计ETF,1.077,224223167
sz159636,港股通科技30ETF工银,港股通科技30ETF,0.499,205180018
sz159755,电池ETF广发,电池ETF,0.879,203806356
sz159928,消费ETF汇添富,消费ETF,0.658,203657637
sz159566,储能电池ETF易方达,储能电池ETF,1.746,202756699
sz159611,电力ETF广发,电力ETF,1.039,202711860
sh512980,传媒ETF广发,传媒ETF,0.822,199762229
sz159707,地产ETF华宝,地产ETF,0.518,198414667
sh513200,港股通医药ETF易方达,港股通医药ETF,1.114,189191723
sh513850,美国50ETF易方达,美国50ETF,1.895,185191378
sz159930,能源ETF汇添富,能源ETF,1.714,178146024
sh560860,工业有色ETF万家,工业有色ETF,1.545,167652714
sh589680,科创综指ETF鹏华,科创综指ETF,1.53,166598267
sz159920,恒生ETF华夏,恒生ETF,1.462,163596970
sh588160,科创新材料ETF南方,科创新材料ETF,1.096,158023512
sz159105,恒生生物科技ETF易方达,恒生生物科技ETF,0.988,155174338
sz159766,旅游ETF富国,旅游ETF,0.558,153502053
sh560710,船舶ETF富国,船舶ETF,1.003,146181179
sz159698,粮食ETF鹏华,粮食ETF,0.965,145258777
sh515800,中证800ETF汇添富,中证800ETF,1.277,143762245
sh588790,科创AIETF博时,科创AIETF,0.789,140148557
sh562800,稀有金属ETF嘉实,稀有金属ETF,0.891,138890026
sz159227,航空航天ETF华夏,航空航天ETF,1.042,136012681
sh515790,光伏ETF华泰柏瑞,光伏ETF,0.82,133466623
sh515000,科技ETF华宝,科技ETF,1.291,130119187
sh516150,稀土ETF嘉实,稀土ETF,1.68,127590705
sh510810,上海国企ETF汇添富,上海国企ETF,0.846,112468768
sz159667,工业母机ETF国泰,工业母机ETF,0.664,111246572
sz159687,亚太精选ETF南方,亚太精选ETF,1.867,110625769
sh588760,科创人工智能ETF广发,科创人工智能ETF,0.748,105627067
sh515030,新能源车ETF华夏,新能源车ETF,1.504,103053535
sz159883,医疗器械ETF永赢,医疗器械ETF,0.441,100288591
sh516160,新能源ETF南方,新能源ETF,2.335,97609509
sh588830,科创新能源ETF鹏华,科创新能源ETF,1.186,97247040
sz159825,农业ETF富国,农业ETF,0.741,88155140
sh512930,AI人工智能ETF平安,AI人工智能ETF,0.631,87656663
sh588130,科创医药ETF华夏,科创医药ETF,1.03,87126727
sz159267,航天ETF华安,航天ETF,0.884,82015883
sz159997,电子ETF天弘,电子ETF,2.125,79135807
sh560280,工程机械ETF广发,工程机械ETF,1.447,77888033
sh520600,港股通汽车ETF广发,港股通汽车ETF,0.943,77540838
sh512670,国防ETF鹏华,国防ETF,0.798,77112288
sz159697,石油ETF鹏华,石油ETF,1.341,75415930
sz159840,锂电池ETF工银,锂电池ETF,0.711,72753237
sh510230,金融ETF国泰,金融ETF,1.334,71480096
sz159628,国证2000ETF万家,国证2000ETF,1.418,67436477
sh516510,云计算ETF易方达,云计算ETF,1.647,66452834
sh562550,绿电ETF华夏,绿电ETF,1.131,66100137
sh515400,大数据ETF富国,大数据ETF,0.845,63981301
sh515210,钢铁ETF国泰,钢铁ETF,1.15,62924426
sh513550,港股通50ETF华泰柏瑞,港股通50ETF,1.101,62416913
sz159309,油气ETF汇添富,油气ETF,1.477,62224729
sz159731,石化ETF华夏,石化ETF,0.911,58758647
sh512740,汽车零部件ETF广发,汽车零部件ETF,1.0,58558125
sh513070,港股通消费ETF易方达,港股通消费ETF,1.025,57928359
sz159102,港股通生物科技ETF华安,港股通生物科技ETF,0.871,57646885
sz159903,深成ETF南方,深成ETF,1.681,54240691
sh588330,双创50ETF华宝,双创50ETF,1.097,53436819
sz159998,计算机ETF天弘,计算机ETF,0.949,52728197
sz159207,高股息ETF广发,高股息ETF,1.134,50543693
sz159837,生物科技ETF易方达,生物科技ETF,0.513,50000229
sz159718,港股医药ETF平安,港股医药ETF,0.934,48931798
sh515170,食品饮料ETF华夏,食品饮料ETF,0.459,48872662
sz159328,家电ETF易方达,家电ETF,1.021,48210890
sz159546,集成电路ETF国泰,集成电路ETF,0.779,47202231
sh563330,A股ETF华泰柏瑞,A股ETF,4.209,45904170
sh561330,矿业ETF国泰,矿业ETF,0.914,42531042
sh516820,医疗创新ETF平安,医疗创新ETF,0.351,41596965
sz159663,机床ETF华夏,机床ETF,0.995,39367616
sz159745,建材ETF国泰,建材ETF,0.531,37854391
sz159350,深证50ETF富国,深证50ETF,1.522,37346351
sh513800,日本东证指数ETF南方,日本东证指数ETF,1.894,36379743
sh560080,中药ETF汇添富,中药ETF,0.947,36351104
sh515650,消费50ETF富国,消费50ETF,1.044,36040192
sz159003,招商快线ETF,招商快线ETF,99.999,35472792
sz159665,半导体龙头ETF工银,半导体龙头ETF,2.448,34411873
sz159625,绿色电力ETF嘉实,绿色电力ETF,1.211,33396837
sh520870,巴西ETF易方达,巴西ETF,1.15,32436541
sz159939,信息技术ETF广发,信息技术ETF,1.125,31306351
