代码,名称,类型,market,卡片,日期,收盘,来源,刷新于
sh520510,港股通医疗ETF华夏,ETF,CN_ETF,cn-hk-pharma-delivery,2026-09-21,0.997,surf/CN_ETF,2026-09-22 17:53
603259,药明康德,个股,CN,cn-hk-pharma-delivery,2026-09-22,167.85,quotes/akshare,2026-09-22 17:53
002821,凯莱英,个股,CN,cn-hk-pharma-delivery,2026-09-22,187.66,quotes/akshare,2026-09-22 17:53
300363,博腾股份,个股,CN,cn-hk-pharma-delivery,2026-09-22,24.04,quotes/akshare,2026-09-22 17:53
02269,药明生物,个股,HK,cn-hk-pharma-delivery,2026-09-22,52.65,quotes/yfinance,2026-09-22 17:53
02268,药明合联,个股,HK,cn-hk-pharma-delivery,2026-09-22,80.55,quotes/yfinance,2026-09-22 17:53
300347,泰格医药,个股,CN,cn-hk-pharma-delivery,2026-09-22,57.84,quotes/akshare,2026-09-22 17:53
300759,康龙化成,个股,CN,cn-hk-pharma-delivery,2026-09-22,44.46,quotes/akshare,2026-09-22 17:53
688235,百济神州,个股,CN,cn-hk-pharma-delivery,2026-09-22,268.66,quotes/akshare,2026-09-22 17:53
600276,恒瑞医药,个股,CN,cn-hk-pharma-delivery,2026-09-22,45.72,quotes/akshare,2026-09-22 17:53
IGV,iShares Expanded Tech-Software,ETF,US,us-software-rerating,2026-09-21,107.13,surf/US,2026-09-22 17:53
CRM,Salesforce,个股,US,us-software-rerating,2026-09-21,236.42,quotes/yfinance,2026-09-22 17:53
NOW,ServiceNow,个股,US,us-software-rerating,2026-09-21,137.68,quotes/yfinance,2026-09-22 17:53
TEAM,Atlassian,个股,US,us-software-rerating,2026-09-21,195.67,quotes/yfinance,2026-09-22 17:53
HUBS,HubSpot,个股,US,us-software-rerating,2026-09-21,213.86,quotes/yfinance,2026-09-22 17:53
WDAY,Workday,个股,US,us-software-rerating,2026-09-21,191.92,quotes/yfinance,2026-09-22 17:53
ADBE,Adobe,个股,US,us-software-rerating,2026-09-21,249.52,quotes/yfinance,2026-09-22 17:53
MDB,MongoDB,个股,US,us-software-rerating,2026-09-21,407.3,quotes/yfinance,2026-09-22 17:53
DDOG,Datadog,个股,US,us-software-rerating,2026-09-21,245.05,quotes/yfinance,2026-09-22 17:53
PANW,PaloAlto,个股,US,us-software-rerating,2026-09-21,371.76,quotes/yfinance,2026-09-22 17:53
