序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
1,医疗服务,5.1,1532.25,402.2,12.52,55,1,26.25,诺禾致源,18.18,20.0
2,化学制药,4.67,3779.21,502.44,44.14,154,4,13.29,峆一药业,12.38,29.91
3,生物制品,4.64,782.82,208.25,15.45,55,1,26.6,近岸蛋白,118.84,20.0
4,房地产,3.68,6751.73,256.09,33.55,80,6,3.79,绿地控股,1.6,10.35
5,医疗器械,3.43,969.17,213.12,10.91,131,8,21.99,透景生命,20.35,19.99
6,农产品加工,3.31,1027.45,97.09,6.39,41,2,9.45,乖宝宠物,41.27,11.0
7,中药,3.26,1425.16,128.45,15.2,66,2,9.01,华森制药,15.25,10.03
8,油气开采及服务,2.91,689.11,60.25,7.76,17,1,8.74,海油工程,6.53,7.76
9,零售,2.91,2185.35,135.67,7.91,69,2,6.21,南宁百货,5.89,10.09
10,旅游及酒店,2.83,846.31,67.48,4.19,35,0,7.97,大连圣亚,48.57,10.01
11,医药商业,2.81,671.82,61.38,2.67,30,2,9.14,瑞康医药,3.6,10.09
12,美容护理,2.69,253.78,52.74,0.6,33,1,20.78,可靠股份,9.18,4.91
13,种植业与林业,2.68,1745.74,137.81,2.21,28,2,7.89,华绿生物,19.17,9.73
14,白酒,2.5,150.02,76.76,-2.16,18,1,51.16,皇台酒业,11.92,9.96
15,家居用品,2.48,1055.6,119.5,1.11,84,14,11.32,先锋新材,8.09,10.22
16,化学制品,2.47,2112.66,368.93,-3.95,164,15,17.46,金丹科技,25.72,20.02
17,养殖业,2.46,887.81,64.11,4.07,34,2,7.22,华英农业,2.3,10.05
18,化学原料,2.45,1296.67,144.27,6.5,52,5,11.13,金瑞矿业,19.25,10.0
19,农化制品,2.45,1343.12,127.87,12.97,61,0,9.52,红四方,28.14,10.01
20,饮料制造,2.43,707.1,86.46,5.02,46,1,12.23,会稽山,36.12,9.99
21,影视院线,2.42,958.85,69.91,6.11,18,2,7.29,华智数媒,8.35,13.91
22,多元金融,2.41,784.93,62.49,1.71,21,4,7.96,华金资本,14.26,10.03
23,软件开发,2.4,1986.55,340.23,12.2,126,12,17.13,绿盟科技,9.47,13.69
24,元件,2.4,2407.54,1363.27,-7.1,47,16,56.62,迅捷兴,73.21,12.61
25,煤炭开采加工,2.39,1475.54,119.36,13.54,33,1,8.09,广汇能源,7.07,5.21
26,化学纤维,2.38,535.81,55.33,3.42,27,1,10.33,汇隆新材,23.49,11.7
27,教育,2.28,403.16,25.11,2.92,13,2,6.23,ST豆神,5.48,7.66
28,建筑材料,2.25,1984.16,382.71,1.74,66,6,19.29,中材科技,66.24,10.0
29,非金属材料,2.25,144.64,71.94,-4.56,13,4,49.73,金戈新材,42.56,10.95
30,服装家纺,2.24,1051.37,84.36,-2.31,61,11,8.02,泰慕士,26.59,10.01
31,物流,2.23,572.21,55.54,3.53,47,2,9.71,三羊马,59.96,10.0
32,纺织制造,2.22,602.8,40.13,-1.54,26,7,6.66,华孚时尚,4.22,9.9
33,塑料制品,2.14,1229.84,235.6,-0.57,65,12,19.16,海正生材,19.55,10.64
34,小金属,2.02,628.12,253.57,-11.52,25,5,40.37,华锡有色,49.97,9.99
35,食品加工制造,1.97,735.31,79.39,1.17,57,7,10.8,ST交昂,4.0,7.24
36,轨交设备,1.97,261.39,21.54,2.2,27,2,8.24,通业科技,17.87,10.24
37,石油加工贸易,1.96,837.07,68.86,8.55,25,2,8.23,华锦股份,5.75,6.48
38,光学光电子,1.96,4983.09,560.09,1.2,85,19,11.24,深华发A,14.26,10.03
39,军工装备,1.95,1394.83,360.25,9.58,71,9,25.83,隆达股份,35.18,10.77
40,小家电,1.94,209.19,25.11,0.94,19,4,12.0,奥佳华,6.25,10.04
41,消费电子,1.93,1562.22,488.35,-0.53,77,19,31.26,福立旺,27.93,13.17
42,燃气,1.91,361.23,30.02,1.7,26,1,8.31,升达林业,4.52,9.98
43,其他社会服务,1.9,391.99,44.25,1.88,37,5,11.29,锋尚文化,32.07,12.8
44,电机,1.86,210.04,35.6,0.72,24,2,16.95,神力股份,17.33,10.03
45,包装印刷,1.86,655.25,74.56,-1.52,37,6,11.38,美盈森,6.27,10.0
46,文化传媒,1.81,2546.83,297.22,-4.02,72,11,11.67,内蒙新华,14.83,10.02
47,建筑装饰,1.81,3009.46,246.67,6.13,121,20,8.2,华维设计,11.03,29.92
48,通信设备,1.77,2608.98,1609.93,-21.11,71,20,61.71,坤恒顺维,30.85,12.88
49,金属新材料,1.77,335.66,75.12,1.6,31,3,22.38,深圳新星,24.68,8.15
50,计算机设备,1.76,1006.72,247.38,-4.04,66,16,24.57,联合光电,17.76,20.0
51,橡胶制品,1.75,257.57,40.16,-0.85,17,5,15.59,三维股份,7.89,7.79
52,互联网电商,1.74,579.34,78.83,11.73,17,3,13.61,行云科技,37.08,8.55
53,通用设备,1.74,2818.8,607.35,-14.77,205,47,21.55,鼎阳科技,91.79,20.0
54,贸易,1.73,165.99,10.57,1.2,13,1,6.37,苏豪弘业,8.56,3.51
55,港口航运,1.71,1450.59,140.83,12.7,32,1,9.71,宁波远洋,8.96,4.92
56,汽车零部件,1.71,3267.15,502.23,4.41,222,48,15.37,德尔股份,34.8,14.29
57,能源金属,1.65,212.82,87.98,-2.52,12,1,41.34,*ST威领,21.82,9.98
58,游戏,1.62,594.57,67.76,2.11,21,2,11.4,电魂网络,14.19,10.0
59,汽车服务及其他,1.6,207.81,32.15,2.07,25,1,15.47,春风动力,305.62,5.25
60,军工电子,1.58,690.81,176.63,-2.82,50,11,25.57,观想科技,45.88,14.07
61,造纸,1.57,573.91,29.4,-0.15,20,4,5.12,华泰股份,3.42,6.21
62,通信服务,1.51,898.47,109.42,-3.37,35,6,12.18,华星创业,5.97,8.55
63,专用设备,1.5,2049.94,435.6,-27.18,158,45,21.25,*ST卓然,1.38,20.0
64,IT服务,1.5,2170.58,345.13,-7.1,104,23,15.9,南威软件,7.28,9.97
65,综合,1.49,583.07,36.87,0.38,13,5,6.32,南京新百,5.97,7.18
66,其他电子,1.47,717.67,230.39,-10.71,21,12,32.1,富信科技,107.9,12.51
67,厨卫电器,1.46,99.49,11.37,0.38,7,2,11.43,日出东方,7.49,4.9
68,白色家电,1.45,667.61,178.49,-8.0,36,7,26.74,宏昌科技,52.09,15.22
69,钢铁,1.42,1546.21,66.55,2.37,38,4,4.3,马矿股份,19.56,10.01
70,证券,1.41,2133.58,210.65,22.15,47,0,9.87,湘财股份,9.07,4.61
71,电网设备,1.37,2632.6,383.32,0.48,114,20,14.56,华通线缆,34.62,10.01
72,环境治理,1.21,1369.16,128.22,0.57,91,20,9.37,清水源,11.39,6.45
73,工程机械,1.2,548.56,63.2,-0.82,29,5,11.52,福事特,40.18,7.15
74,光伏设备,1.12,1233.58,230.44,-4.6,56,16,18.68,海优新材,36.47,7.26
75,环保设备,1.04,280.83,44.8,-1.19,22,7,15.95,碧兴物联,26.73,7.31
