序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,科创次新股,30,694.83,13.36%,108.42,130.99,-22.57
2,CRO概念,77,1047.97,13.02%,115.69,92.93,22.76
3,注册制次新股,91,167.06,12.49%,152.49,169.54,-17.05
4,重组蛋白,126,823.62,11.49%,36.6,31.35,5.25
5,细胞免疫治疗,66,1244.93,10.44%,53.84,44.21,9.63
6,减肥药,67,1464.3,10.26%,60.84,48.99,11.85
7,MLCC概念,38,1229.95,10.01%,214.17,188.77,25.4
8,国家大基金持股,52,3040.24,9.51%,254.85,281.07,-26.22
9,光刻胶,80,5060.74,9.44%,83.54,73.48,10.06
10,新股与次新股,161,12740.1,9.35%,152.49,169.54,-17.05
11,中芯国际概念,91,3442.18,9.18%,252.95,250.29,2.66
12,先进封装,207,2763.38,9.17%,652.69,635.82,16.87
13,存储芯片,203,2751.5,9.06%,729.17,762.04,-32.87
14,玻璃基板,61,695.56,9.02%,154.89,147.61,7.28
15,光刻机,52,2652.62,8.86%,108.96,102.85,6.12
16,汽车芯片,145,1381.7,8.55%,306.42,320.74,-14.32
17,电子纸,27,1299.3,8.53%,38.83,34.37,4.46
18,第三代半导体,183,2646.42,8.32%,383.88,378.38,5.5
19,OLED,156,3149.14,8.32%,348.89,327.01,21.88
20,柔性屏(折叠屏),110,3332.5,8.23%,210.33,199.01,11.31
21,共封装光学(CPO),218,6372.47,8.12%,1234.27,1291.4,-57.12
22,猴痘概念,75,908.96,8.08%,38.43,29.91,8.52
23,MiniLED,108,2878.35,8.04%,334.61,314.7,19.91
24,富士康概念,109,3843.29,8.03%,213.32,221.13,-7.8
25,MicroLED概念,82,1802.05,8.00%,150.12,143.72,6.4
26,辅助生殖,74,1270.3,7.98%,41.92,33.91,8.0
27,新型烟草(电子烟),53,2148.57,7.97%,84.11,69.78,14.33
28,牙科医疗,30,1167.44,7.90%,54.68,41.59,13.09
29,消费电子概念,509,3294.33,7.87%,894.78,888.9,5.88
30,PCB概念,239,2826.21,7.82%,811.46,765.22,46.24
31,创新药,277,1316.07,7.76%,214.7,170.0,44.7
32,基因测序,71,2093.78,7.75%,53.95,49.09,4.87
33,无线耳机,99,2606.62,7.74%,194.58,211.65,-17.07
34,阿尔茨海默概念,90,1298.86,7.69%,27.23,23.21,4.02
35,MCU芯片,96,1728.31,7.44%,156.79,162.57,-5.77
