代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正,RS5,RS20,RS60,板块,板块5日资金净额_亿,板块当日广度_%,板块当日涨跌_%
sh588170,科创半导体ETF华夏,2026-09-18,1.019,13.85,0.69,-15.29,62.8,-27.06,0.956,1.0401,均线纠缠偏空,0.8,4812849568.8,356,1,100.0,74.4,26.5,半导体,-35.27,51.6,0.23
sh588710,科创半导体设备ETF华泰柏瑞,2026-09-18,1.054,13.82,0.86,-19.41,57.6,-30.78,0.9882,1.1112,均线纠缠偏空,0.78,1010786889.7,319,1,99.1,77.8,16.2,半导体,-35.27,51.6,0.23
sz159516,半导体设备ETF国泰,2026-09-18,0.729,11.64,0.0,-11.08,69.3,-21.39,0.6919,0.7409,均线纠缠偏空,0.6,2902158286.25,765,2,98.3,65.8,29.1,半导体,-35.27,51.6,0.23
sh588200,科创芯片ETF嘉实,2026-09-18,1.184,8.72,0.94,-30.77,38.6,-37.07,1.1363,1.3033,均线纠缠偏空,0.5,2580843143.55,949,1,97.4,80.3,0.9,半导体,-35.27,51.6,0.23
sh512480,半导体ETF国联安,2026-09-18,1.041,8.44,-0.1,-23.13,49.2,-29.73,1.0043,1.1091,均线纠缠偏空,0.61,1198584830.9,1767,2,96.6,63.2,8.5,半导体,-35.27,51.6,0.23
sh589070,科创芯片设计ETF天弘,2026-09-18,1.071,8.07,0.94,-24.26,33.0,-30.59,1.0352,1.1335,均线纠缠偏空,1.21,287044603.65,160,0,95.7,80.3,6.8,半导体,-35.27,51.6,0.23
sh588160,科创新材料ETF南方,2026-09-18,1.096,7.56,-0.45,-23.73,40.2,-29.65,1.0549,1.138,均线纠缠偏空,1.22,208420300.45,949,0,94.9,60.7,7.7,,,,
sz159546,集成电路ETF国泰,2026-09-18,0.777,7.47,0.39,-26.7,40.7,-31.96,0.7519,0.8355,均线纠缠偏空,0.64,49758138.7,710,1,94.0,67.9,1.7,半导体,-35.27,51.6,0.23
sh588830,科创新能源ETF鹏华,2026-09-18,1.193,7.09,-5.39,-20.57,11.5,-33.69,1.1817,1.2475,均线纠缠偏空,0.88,79541757.2,513,0,93.2,21.4,12.8,电池,24.34,48.6,0.12
sz159995,芯片ETF华夏,2026-09-18,1.152,6.96,-0.6,-26.15,42.9,-31.88,1.1176,1.2456,均线纠缠偏空,0.53,644758612.45,1608,1,92.3,56.8,2.6,半导体,-35.27,51.6,0.23
sz159665,半导体龙头ETF工银,2026-09-18,2.437,6.84,-0.49,-25.13,45.1,-30.9,2.3621,2.6123,均线纠缠偏空,0.49,41205916.95,898,0,91.5,59.8,5.1,半导体,-35.27,51.6,0.23
sh520510,港股通医疗ETF华夏,2026-09-18,0.959,6.44,-2.44,29.59,59.6,-14.68,0.9464,0.89,多头排列,1.9,393771662.45,273,0,90.6,40.2,100.0,,,,
sh589720,科创创新药ETF国泰,2026-09-18,0.879,6.42,-7.96,9.87,41.4,-19.06,0.8832,0.9154,空头排列,0.52,578372076.7,277,0,89.7,10.3,75.2,化学制药,18.48,97.5,4.67
sh588790,科创AIETF博时,2026-09-18,0.782,6.39,0.64,-18.29,17.5,-25.24,0.7657,0.8342,均线纠缠偏空,0.46,205440912.1,412,1,88.9,71.4,19.7,软件开发,4.14,91.3,2.4
