代码,名称,基准,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,样本天数,RS5,RS20,RS60
HACK,网络安全,False,2026-09-18,118.67,7.98,8.11,23.59,93.7,-2.64,113.64,111.21,多头排列,2.44,501,100.0,100.0,91.8
WCLD,云软件,False,2026-09-18,40.24,3.76,0.27,36.45,84.7,-6.74,40.81,37.37,均线纠缠偏多,0.76,501,98.0,77.6,100.0
IGV,软件,False,2026-09-18,104.35,2.79,2.39,21.1,68.9,-11.39,104.77,98.6,均线纠缠偏多,0.72,501,95.9,95.9,89.8
SKYY,云计算,False,2026-09-18,162.02,2.24,1.64,25.52,89.4,-4.08,161.38,149.92,多头排列,0.88,501,93.9,87.8,95.9
IHI,医疗器械,False,2026-09-18,51.77,1.91,-6.49,4.5,26.1,-19.31,53.34,52.71,均线纠缠偏空,1.25,501,91.8,12.2,65.3
XLV,医疗,False,2026-09-18,168.39,1.83,-2.32,9.81,83.1,-4.15,170.29,165.79,均线纠缠偏多,0.9,501,89.8,61.2,77.6
PPH,制药,False,2026-09-18,111.17,1.58,-3.4,5.75,80.1,-5.68,113.11,111.31,均线纠缠偏空,0.68,501,87.8,46.9,69.4
SOXX,半导体(备),False,2026-09-18,533.07,1.2,2.12,-11.32,68.6,-18.56,513.73,536.28,均线纠缠偏空,0.79,501,85.7,93.9,10.2
XLK,科技,False,2026-09-18,189.6,1.03,3.55,3.58,88.1,-4.23,185.37,183.22,多头排列,0.89,501,83.7,98.0,57.1
KWEB,中概互联,False,2026-09-18,24.83,0.93,-6.97,2.18,7.1,-38.65,25.43,26.35,空头排列,0.59,501,81.6,8.2,55.1
QQQ,纳斯达克100,True,2026-09-18,721.45,0.92,1.48,1.52,87.3,-3.21,713.24,711.43,多头排列,0.97,501,79.6,85.7,53.1
ARKX,太空探索,False,2026-09-18,32.12,0.88,-2.43,-0.19,53.2,-14.89,32.17,32.33,空头排列,0.52,501,77.6,59.2,49.0
IBB,生物科技(市值),False,2026-09-18,204.56,0.81,-2.97,12.69,84.1,-5.71,208.99,198.6,均线纠缠偏多,0.9,501,75.5,51.0,83.7
SMH,半导体,False,2026-09-18,573.0,0.79,1.84,-7.42,72.5,-14.34,557.82,572.91,均线纠缠偏多,0.67,501,73.5,91.8,22.4
XBI,生物科技(等权),False,2026-09-18,156.72,0.33,-4.08,4.68,82.7,-7.57,161.63,157.85,均线纠缠偏空,1.03,501,71.4,40.8,67.3
JETS,航空,False,2026-09-18,28.22,0.18,-3.55,-13.12,47.1,-15.84,28.61,30.65,空头排列,1.93,501,69.4,44.9,8.2
SPY,标普500,True,2026-09-18,761.69,-0.09,0.13,4.14,90.3,-1.84,762.5,755.23,均线纠缠偏多,1.15,501,67.3,74.5,63.3
FDN,互联网,False,2026-09-18,288.14,-0.27,1.45,11.29,89.7,-2.41,289.48,280.04,均线纠缠偏多,0.75,501,65.3,83.7,81.6
BOTZ,机器人AI,False,2026-09-18,35.11,-0.48,-1.95,-3.97,32.5,-15.62,35.39,35.95,空头排列,0.64,501,63.3,63.3,38.8
XLP,必需消费,False,2026-09-18,82.8,-0.7,-2.95,-1.94,58.9,-6.85,84.68,84.78,空头排列,0.98,501,61.2,54.1,44.9
ROBO,机器人自动化,False,2026-09-18,78.5,-0.77,-3.01,-4.68,57.0,-13.11,79.48,80.96,空头排列,1.03,501,59.2,49.0,34.7
XLE,能源,False,2026-09-18,64.31,-1.27,0.88,20.05,93.3,-2.46,64.11,59.96,多头排列,1.48,501,57.1,79.6,87.8
LIT,锂电,False,2026-09-18,70.5,-1.38,-5.47,-10.27,46.2,-22.72,73.77,72.89,均线纠缠偏空,0.56,501,55.1,24.5,12.2
GRID,智能电网,False,2026-09-18,178.25,-1.4,-1.61,-4.88,61.2,-10.43,178.07,181.37,均线纠缠偏空,0.97,501,53.1,67.3,32.7
COPX,铜矿,False,2026-09-18,87.28,-1.41,-2.95,15.69,79.0,-9.51,91.04,83.74,均线纠缠偏多,0.84,501,51.0,54.1,85.7
FINX,金融科技,False,2026-09-18,25.76,-1.47,-3.9,6.06,27.9,-26.28,26.71,26.09,均线纠缠偏空,0.43,501,49.0,42.9,71.4
XLI,工业,False,2026-09-18,169.75,-1.52,-5.57,-5.8,58.1,-8.99,173.99,179.65,空头排列,1.09,501,46.9,20.4,28.6
KRE,区域银行,False,2026-09-18,72.75,-1.56,-2.62,-1.65,75.1,-6.65,73.98,75.3,空头排列,1.28,501,44.9,57.1,46.9
XLC,通信服务,False,2026-09-18,110.81,-1.59,0.12,4.01,38.8,-7.18,112.29,110.78,均线纠缠偏多,0.9,501,42.9,71.4,61.2
AMLP,油气管道,False,2026-09-18,54.98,-1.66,0.13,11.18,91.9,-2.15,55.4,53.88,均线纠缠偏多,0.85,501,40.8,74.5,79.6
GDX,金矿,False,2026-09-18,95.48,-1.67,-4.38,28.01,57.6,-17.58,98.63,86.0,均线纠缠偏多,1.01,501,38.8,36.7,98.0
XLY,可选消费,False,2026-09-18,111.03,-1.71,-4.84,-3.51,30.0,-10.48,114.48,115.56,空头排列,0.99,501,36.7,32.7,40.8
XLB,原材料,False,2026-09-18,49.99,-1.88,-4.64,-2.29,69.3,-6.86,52.04,51.67,均线纠缠偏空,0.87,501,34.7,34.7,42.9
ICLN,清洁能源,False,2026-09-18,17.56,-2.01,-0.4,-14.26,29.6,-25.86,17.63,18.25,空头排列,0.78,501,32.7,69.4,6.1
XLRE,地产,False,2026-09-18,42.53,-2.05,-5.66,-4.45,48.3,-7.56,43.92,44.59,空头排列,0.98,501,30.6,18.4,36.7
IYT,运输,False,2026-09-18,80.27,-2.06,-6.75,-5.68,57.3,-10.62,83.59,85.92,空头排列,1.74,501,28.6,10.2,30.6
PAVE,美国基建,False,2026-09-18,52.96,-2.07,-5.5,-9.17,53.1,-11.56,54.46,56.42,空头排列,0.66,501,26.5,22.4,20.4
XHB,住宅建造,False,2026-09-18,96.39,-2.1,-8.74,-15.65,6.4,-20.22,101.3,106.43,空头排列,0.85,501,24.5,4.1,4.1
MOO,农business,False,2026-09-18,84.64,-2.13,1.35,9.69,80.1,-4.74,86.26,83.09,均线纠缠偏多,1.17,501,22.4,81.6,75.5
ITA,国防航天,False,2026-09-18,213.84,-2.25,-9.88,-9.36,29.2,-15.45,224.36,236.2,空头排列,1.49,501,20.4,2.0,18.4
