序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,半导体,188,17462.0,11.52%,760.87,697.94,62.93
2,医疗服务,56,21643.8,11.14%,57.49,64.15,-6.65
3,生物制品,56,6553.58,10.17%,17.78,24.31,-6.53
4,互联网电商,20,9581.13,8.69%,12.73,19.58,-6.85
5,电子化学品,43,91985.2,7.49%,145.11,135.78,9.34
6,光学光电子,107,5645.65,7.34%,88.3,93.21,-4.9
7,文化传媒,85,2831.33,6.77%,65.38,79.45,-14.07
8,元件,63,29485.7,6.49%,460.61,491.3,-30.69
9,房地产,88,1767.21,6.21%,27.55,33.51,-5.96
10,通信设备,91,10116.0,6.17%,427.37,442.91,-15.54
11,医疗器械,141,11300.5,6.12%,29.32,33.65,-4.33
12,化学制药,158,6491.46,6.11%,58.27,77.17,-18.9
13,家居用品,98,4178.4,6.05%,19.69,23.57,-3.88
14,消费电子,96,12877.0,5.85%,97.15,123.08,-25.93
15,教育,15,4456.61,5.84%,6.76,7.62,-0.86
16,风电设备,32,4271.14,5.73%,48.59,46.87,1.72
17,塑料制品,78,11173.8,5.58%,70.56,64.22,6.34
18,其他电子,34,21513.5,5.47%,40.74,44.72,-3.98
19,金属新材料,34,14077.8,5.22%,16.34,16.3,0.04
20,小家电,26,4138.65,5.22%,5.04,5.38,-0.34
21,美容护理,34,4905.19,5.09%,7.42,9.19,-1.77
22,非金属材料,17,31959.4,5.07%,23.43,23.8,-0.36
23,自动化设备,99,29411.9,4.96%,114.82,116.34,-1.51
24,软件开发,138,1940.91,4.92%,89.98,109.95,-19.97
25,化学制品,183,7396.24,4.75%,79.48,87.73,-8.25
26,通用设备,254,9376.82,4.70%,120.42,139.62,-19.2
27,计算机设备,83,4039.45,4.59%,49.5,56.82,-7.32
28,IT服务,129,12162.7,4.36%,78.11,92.46,-14.35
29,专用设备,205,7565.21,4.27%,93.59,97.7,-4.11
30,其他电源设备,35,6336.46,4.23%,29.07,34.6,-5.53
31,白色家电,44,8280.12,4.02%,27.48,31.83,-4.35
32,通信服务,44,2727.83,3.90%,23.62,30.3,-6.69
33,服装家纺,75,2922.99,3.75%,11.05,16.28,-5.23
34,纺织制造,33,2336.87,3.59%,4.13,5.15,-1.01
35,饮料制造,47,5075.0,3.54%,17.7,20.84,-3.13
36,军工电子,61,11936.9,3.45%,39.62,42.08,-2.45
37,小金属,30,8663.51,3.37%,86.19,86.14,0.04
38,光伏设备,73,7106.56,3.32%,39.07,46.19,-7.12
39,橡胶制品,22,14250.3,3.23%,10.9,13.03,-2.12
40,环保设备,30,1428.14,3.19%,8.68,9.57,-0.89
41,其他社会服务,84,19246.2,3.15%,8.04,9.28,-1.24
42,影视院线,20,1425.0,3.15%,11.33,20.83,-9.51
43,造纸,24,2128.36,3.01%,4.94,7.37,-2.43
44,汽车零部件,275,5783.5,3.01%,91.33,111.65,-20.32
45,医药商业,32,4689.76,2.93%,4.55,6.86,-2.31
46,电池,107,17507.0,2.88%,178.01,195.81,-17.8
47,化学纤维,29,3699.16,2.88%,11.87,14.97,-3.1
48,多元金融,26,1094.63,2.82%,8.7,12.62,-3.92
49,包装印刷,46,4479.12,2.67%,15.36,18.04,-2.67
50,电机,26,3242.45,2.57%,4.53,7.13,-2.6
51,煤炭开采加工,34,3106.52,2.51%,33.64,36.61,-2.97
52,能源金属,13,29654.7,2.45%,20.15,23.82,-3.68
53,黑色家电,9,4295.27,2.39%,4.18,4.94,-0.77
54,中药,68,3185.84,2.35%,19.84,27.2,-7.36
55,建筑装饰,143,4217.24,2.25%,51.76,66.99,-15.23
56,证券,50,1459.46,2.16%,40.2,55.24,-15.04
57,游戏,23,9158.25,1.97%,16.91,20.34,-3.43
58,物流,50,5276.16,1.97%,9.09,10.48,-1.4
59,种植业与林业,30,4897.44,1.95%,36.36,46.9,-10.55
60,石油加工贸易,27,3715.84,1.93%,17.54,20.46,-2.91
61,建筑材料,73,5724.68,1.87%,120.02,119.36,0.66
62,汽车服务及其他,26,1135.48,1.64%,6.99,7.65,-0.66
63,化学原料,59,3297.77,1.62%,39.19,41.92,-2.73
64,轨交设备,30,1012.45,1.52%,3.58,5.83,-2.24
65,环境治理,111,4138.54,1.46%,29.99,32.61,-2.62
66,白酒,19,1978.1,1.45%,15.03,18.61,-3.58
67,食品加工制造,66,4695.08,1.43%,23.39,29.99,-6.6
68,电网设备,140,6394.32,1.42%,88.34,106.97,-18.63
69,农产品加工,43,3871.71,1.35%,22.38,29.44,-7.06
70,工业金属,55,4382.7,1.10%,66.38,83.48,-17.1
71,厨卫电器,9,6014.67,1.02%,2.19,3.22,-1.03
72,综合,18,2297.65,0.86%,7.43,10.91,-3.48
73,军工装备,82,2178.78,0.81%,87.1,106.25,-19.14
74,贸易,14,2580.83,0.78%,2.61,3.63,-1.02
75,机场航运,13,1732.63,0.62%,4.88,7.19,-2.31
76,保险,5,2091.9,0.60%,13.42,22.28,-8.85
77,工程机械,36,2965.95,0.60%,11.05,16.26,-5.21
78,农化制品,61,4908.15,0.54%,33.69,46.17,-12.48
79,养殖业,36,2947.76,0.54%,23.22,24.23,-1.01
80,零售,71,1925.15,0.04%,30.16,47.92,-17.76
81,钢铁,44,1498.02,-0.38%,16.67,18.86,-2.19
82,港口航运,36,1273.59,-0.97%,41.06,42.15,-1.1
83,燃气,27,1898.28,-0.97%,7.42,11.41,-3.99
84,油气开采及服务,19,1687.96,-1.04%,14.55,18.16,-3.61
85,公路铁路运输,32,1309.23,-1.15%,8.02,12.07,-4.05
86,电力,110,1949.69,-1.35%,114.43,137.34,-22.91
87,汽车整车,23,2507.08,-1.86%,38.82,51.33,-12.5
88,银行,84,1371.38,-2.65%,77.7,101.58,-23.88
89,旅游及酒店,35,2808.28,-2.69%,16.08,20.83,-4.75
90,贵金属,14,5501.34,-3.51%,44.02,53.92,-9.89
