代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正,主题,RS5,RS20,RS60,板块,板块5日资金净额_亿,板块当日广度_%,板块当日涨跌_%
sh589070,科创芯片设计ETF天弘,2026-09-22,1.104,11.29,8.45,-28.45,37.7,-28.45,1.0429,1.1198,均线纠缠偏空,1.29,288050514.45,162,0,芯片设计,100.0,95.7,2.9,半导体,62.93,52.9,0.71
sh512200,房地产ETF南方,2026-09-22,1.288,10.18,6.45,8.6,31.0,-22.18,1.2228,1.203,多头排列,1.56,183338021.35,2183,0,房地产,98.6,91.3,81.2,房地产,-5.96,42.0,0.21
sz159819,人工智能ETF易方达,2026-09-22,1.809,8.58,7.36,-18.95,51.9,-18.95,1.7309,1.8401,均线纠缠偏空,0.65,355397470.1,1454,0,人工智能,97.1,94.2,24.6,软件开发,-19.97,76.5,1.66
sh515880,通信ETF国泰,2026-09-22,0.707,8.27,9.1,-17.89,61.1,-21.68,0.6718,0.6807,均线纠缠偏多,0.75,2961629028.85,1708,2,通信,95.7,98.6,29.0,通信设备,-15.54,31.9,-0.64
sz159732,消费电子ETF华夏,2026-09-22,1.385,7.95,3.2,-27.86,42.4,-27.86,1.3387,1.4241,均线纠缠偏空,0.6,305795941.6,1233,0,消费电子,94.2,75.4,5.8,消费电子,-25.93,57.3,0.28
sh520510,港股通医疗ETF华夏,2026-09-22,0.988,7.27,-0.2,28.48,66.7,-12.1,0.9488,0.8972,多头排列,1.85,392594890.15,275,0,医药·港股,92.8,39.1,100.0,,,,
sh513120,港股创新药ETF广发,2026-09-22,1.357,6.93,2.26,28.26,68.6,-11.42,1.3016,1.2372,多头排列,0.87,5622955438.7,1021,0,医药·港股,91.3,69.6,98.6,,,,
sz159939,信息技术ETF广发,2026-09-22,1.128,6.92,4.83,-23.89,47.4,-23.89,1.0902,1.1472,均线纠缠偏空,0.43,30457834.2,2827,1,信息技术,89.9,87.0,11.6,IT服务,-14.35,79.4,1.88
sz159997,电子ETF天弘,2026-09-22,2.135,6.91,4.61,-25.45,47.4,-25.45,2.068,2.1848,均线纠缠偏空,0.77,90591214.75,1581,0,电子,88.4,82.6,8.7,,,,
sh516620,影视ETF国泰,2026-09-22,0.887,6.87,8.57,8.97,19.3,-36.51,0.8617,0.8372,多头排列,0.89,53144019.75,1186,0,影视,87.0,97.1,82.6,,,,
sz159516,半导体设备ETF国泰,2026-09-22,0.714,6.73,1.28,-22.3,66.4,-23.01,0.6924,0.7347,均线纠缠偏空,0.67,2858378737.0,767,2,半导体设备,84.8,58.0,14.5,半导体,62.93,52.9,0.71
sz159131,港股通信息技术ETF华宝,2026-09-22,0.983,6.73,2.72,-13.16,60.5,-13.16,0.9654,0.9708,均线纠缠偏多,0.56,1200393202.8,211,0,信息技术·港股,84.8,72.5,30.4,,,,
sh513310,中韩半导体ETF华泰柏瑞,2026-09-22,4.937,6.06,4.62,-26.17,62.5,-26.17,4.7798,5.0204,均线纠缠偏空,0.8,9387323606.0,910,0,半导体,82.6,84.1,7.2,,,,
sh515000,科技ETF华宝,2026-09-22,1.296,5.97,4.77,-24.3,49.2,-24.3,1.2556,1.3268,均线纠缠偏空,0.66,142865126.8,1723,1,科技,81.2,85.5,10.1,,,,
sh516510,云计算ETF易方达,2026-09-22,1.684,5.85,3.44,-3.61,32.3,-17.37,1.6486,1.6914,均线纠缠偏空,0.64,111411345.5,1327,0,云计算,79.7,76.8,47.8,IT服务,-14.35,79.4,1.88
sz159992,创新药ETF银华,2026-09-22,0.867,5.47,-0.12,7.84,57.6,-11.98,0.8436,0.8629,均线纠缠偏多,0.61,703382282.45,1567,0,医药·A股,78.3,42.0,78.3,化学制药,-18.9,53.5,0.53
sh515400,大数据ETF富国,2026-09-22,0.861,5.39,2.38,-4.01,16.9,-25.58,0.8477,0.8702,均线纠缠偏空,0.49,78802293.15,1376,0,大数据,76.8,71.0,46.4,IT服务,-14.35,79.4,1.88
sz159698,粮食ETF鹏华,2026-09-22,0.96,5.03,4.12,16.08,36.4,-20.53,0.9724,0.8996,均线纠缠偏多,1.69,213482163.8,751,0,农业,75.4,81.2,94.2,种植业与林业,-10.55,33.3,-0.35
sz159851,金融科技ETF华宝,2026-09-22,0.617,4.75,0.65,-0.96,12.2,-36.39,0.6219,0.6161,均线纠缠偏多,0.88,277898486.85,1339,1,金融科技,73.9,55.1,55.1,IT服务,-14.35,79.4,1.88
sz159883,医疗器械ETF永赢,2026-09-22,0.445,4.71,0.45,7.49,26.7,-20.96,0.4373,0.4354,多头排列,0.75,56763034.2,1310,0,医疗器械,72.5,49.3,75.4,医疗器械,-4.33,65.0,1.12
sz159206,卫星ETF永赢,2026-09-22,1.386,4.6,4.84,-21.03,25.4,-37.03,1.3547,1.4083,均线纠缠偏空,0.31,320887837.05,374,0,卫星,71.0,88.4,20.3,军工电子,-2.45,36.7,-0.15
sh588160,科创新材料ETF南方,2026-09-22,1.081,4.44,1.5,-30.08,38.2,-30.62,1.0568,1.1237,均线纠缠偏空,1.06,202988105.55,951,0,新材料,69.6,59.4,1.4,,,,
sz159998,计算机ETF天弘,2026-09-22,0.962,4.34,1.58,-9.67,17.0,-18.54,0.9555,0.9832,均线纠缠偏空,0.47,65243876.05,1566,0,计算机,68.1,63.0,34.8,软件开发,-19.97,76.5,1.66
