代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正
sz159998,计算机ETF天弘,2026-09-22,0.962,4.34,1.58,-9.67,17.0,-18.54,0.9555,0.9832,均线纠缠偏空,0.47,65243876.05,1566,0
sz159997,电子ETF天弘,2026-09-22,2.135,6.91,4.61,-25.45,47.4,-25.45,2.068,2.1848,均线纠缠偏空,0.77,90591214.75,1581,0
sz159996,家电ETF国泰,2026-09-22,1.418,1.0,-0.84,-2.61,21.0,-13.33,1.4259,1.4229,均线纠缠偏空,0.48,67778841.15,1585,0
sz159995,芯片ETF华夏,2026-09-22,1.167,8.36,4.38,-30.99,41.8,-30.99,1.1221,1.2288,均线纠缠偏空,0.61,637724412.75,1610,1
sz159994,通信ETF银华,2026-09-22,1.321,6.62,7.05,-22.66,54.6,-24.94,1.2728,1.3061,均线纠缠偏多,0.65,233850632.5,1596,1
sz159993,证券ETF鹏华,2026-09-22,1.153,2.04,0.09,-5.95,21.8,-17.05,1.1664,1.1875,空头排列,0.36,68833217.25,1611,0
sz159992,创新药ETF银华,2026-09-22,0.867,5.47,-0.12,7.84,57.6,-11.98,0.8436,0.8629,均线纠缠偏多,0.61,703382282.45,1567,0
sz159980,有色ETF大成,2026-09-22,2.181,3.27,1.39,6.08,84.3,-3.84,2.1641,2.1279,多头排列,0.99,409911303.55,1637,0
sz159939,信息技术ETF广发,2026-09-22,1.128,6.92,4.83,-23.89,47.4,-23.89,1.0902,1.1472,均线纠缠偏空,0.43,30457834.2,2827,1
sz159938,医药ETF广发,2026-09-22,0.653,4.31,0.0,8.65,48.1,-13.05,0.6403,0.6459,均线纠缠偏多,0.87,36845009.5,2791,1
sz159930,能源ETF汇添富,2026-09-22,1.717,0.64,-2.33,16.88,65.3,-10.9,1.7356,1.6782,均线纠缠偏多,0.93,107329070.9,3161,0
sz159929,医药ETF汇添富,2026-09-22,1.335,4.13,-0.45,8.62,46.8,-13.31,1.3131,1.3256,均线纠缠偏多,0.7,59313818.75,3165,0
sz159928,消费ETF汇添富,2026-09-22,0.658,0.61,-0.9,6.99,19.2,-26.07,0.6653,0.663,均线纠缠偏空,0.53,243076903.35,3165,1
sz159892,恒生医药ETF华夏,2026-09-22,0.833,6.93,1.96,27.57,63.5,-13.32,0.8013,0.7633,多头排列,0.82,587325927.95,1199,0
sz159887,银行ETF富国,2026-09-22,1.373,-0.72,2.16,14.7,87.1,-1.86,1.3718,1.3241,多头排列,0.77,90173709.3,1299,0
sz159883,医疗器械ETF永赢,2026-09-22,0.445,4.71,0.45,7.49,26.7,-20.96,0.4373,0.4354,多头排列,0.75,56763034.2,1310,0
sz159876,有色ETF华宝,2026-09-22,0.939,0.43,-4.67,-2.9,30.7,-30.08,0.9736,0.9545,均线纠缠偏空,0.76,77811227.95,1335,1
