代码,名称,市场,可交易,链上卡位,日期,基准日期,现价,ret20,ret60,基准ret20,基准ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,ATR20_%,日均成交额_万,硬止损_%,止损价,建议仓位_%,超额20,超额60,同市场超额20,同市场超额60
603259,药明康德,CN,True,一体化CRDMO·全球订单卡位,2026-09-22,2026-09-22,167.85,4.59,35.25,-0.2,28.48,99.9,-0.07,157.42,144.101,多头排列,0.73,3.03,537980.2,12.0,147.708,16.7,4.79,6.77,4.59,22.4
02269,药明生物,HK,False,生物药CDMO·国产BD分子主要承接方,2026-09-22,2026-09-22,52.65,0.86,49.23,-0.2,28.48,98.5,-0.66,49.743,44.113,多头排列,0.98,3.91,175016.9,12.0,46.332,16.7,1.06,20.75,0.86,36.38
02268,药明合联,HK,False,ADC CDMO·当下最热模态的瓶颈,2026-09-22,2026-09-22,80.55,0.5,38.16,-0.2,28.48,88.4,-5.35,74.585,64.909,多头排列,0.64,4.15,75033.1,12.0,70.884,16.7,0.7,9.68,0.5,25.31
002821,凯莱英,CN,True,小分子CDMO,2026-09-22,2026-09-22,187.66,8.96,15.84,-0.2,28.48,92.4,-4.13,173.08,168.107,多头排列,0.88,4.49,166905.4,12.0,165.141,16.7,9.16,-12.64,8.96,2.99
300759,康龙化成,CN,True,全流程CRO+CDMO·早期业务是订单先行指标,2026-09-22,2026-09-22,44.46,-4.22,54.7,-0.2,28.48,77.4,-13.08,42.877,40.833,多头排列,0.84,4.17,210233.8,12.0,39.125,16.7,-4.02,26.22,-4.22,41.85
300363,博腾股份,CN,True,小分子CDMO·弹性档,2026-09-22,2026-09-22,24.04,15.13,48.03,-0.2,28.48,67.1,-17.92,20.902,19.282,多头排列,0.79,4.37,47802.9,12.0,21.155,16.7,15.33,19.55,15.13,35.18
603456,九洲药业,CN,True,小分子CDMO,2026-09-22,2026-09-22,16.2,-1.1,19.38,-0.2,28.48,43.9,-24.83,15.28,15.322,均线纠缠偏多,0.85,2.98,29890.9,12.0,14.256,16.7,-0.9,-9.1,-1.1,6.53
300347,泰格医药,CN,True,临床CRO·兑现慢于生产端,2026-09-22,2026-09-22,57.84,10.66,20.83,-0.2,28.48,71.8,-12.9,53.528,51.358,多头排列,0.74,4.15,78408.2,12.0,50.899,16.7,10.86,-7.65,10.66,7.98
688235,百济神州,CN,True,全球商业化已兑现的唯一样本,2026-09-22,2026-09-22,268.66,-2.34,5.52,-0.2,28.48,54.2,-16.04,263.421,270.428,均线纠缠偏空,0.53,2.82,81268.8,12.0,236.421,16.7,-2.14,-22.96,-2.34,-7.33
600276,恒瑞医药,CN,True,对照组·市值龙头,2026-09-22,2026-09-22,45.72,-1.66,-12.14,-0.2,28.48,10.4,-36.48,45.125,50.795,均线纠缠偏空,0.59,2.05,285119.0,12.0,40.234,16.7,-1.46,-40.62,-1.66,-24.99
