代码,名称,最新价,成交额,剔除原因,剔除说明,主题
sz159998,计算机ETF天弘,0.962,75972475,,,计算机
sz159997,电子ETF天弘,2.135,74946184,,,电子
sz159996,家电ETF国泰,1.418,43819277,,,家电
sz159995,芯片ETF华夏,1.167,770658632,dedup,同主题「半导体」，代表为 sh513310 中韩半导体ETF华泰柏瑞,半导体
sz159994,通信ETF银华,1.321,242902796,dedup,同主题「通信」，代表为 sh515880 通信ETF国泰,通信
sz159993,证券ETF鹏华,1.153,49450579,dedup,同主题「券商」，代表为 sh512880 证券ETF国泰,券商
sz159992,创新药ETF银华,0.867,689723558,,,医药·A股
sz159991,创业板大盘ETF招商,0.814,4233887,asset_class,A股宽基指数（名称含「创业板」）,
sz159985,豆粕ETF华夏,2.323,614813721,asset_class,商品（名称含「豆粕」）,
sz159982,中证500ETF鹏华,2.112,11701829,asset_class,A股宽基指数（名称含「中证500」）,
sz159981,能源化工ETF建信,1.743,780686123,asset_class,商品（名称含「能源化工」）,
sz159980,有色ETF大成,2.181,458976772,dedup,同主题「有色金属」，代表为 sh512400 有色金属ETF南方,有色金属
sz159977,创业板ETF天弘,1.774,289843141,asset_class,A股宽基指数（名称含「创业板」）,
sz159976,湾创ETF工银,1.291,203148,illiquid,当日成交额 20 万 ≤ 2000 万,
sz159975,深100ETF招商,0.738,3395622,illiquid,当日成交额 340 万 ≤ 2000 万,
sz159974,央企创新ETF富国,1.785,394839,illiquid,当日成交额 39 万 ≤ 2000 万,
sz159973,民企ETF弘毅远方,1.866,331957,illiquid,当日成交额 33 万 ≤ 2000 万,
sz159972,5年地方债ETF鹏华,119.791,2334374498,asset_class,债券（名称含「债」）,
sz159971,创业板ETF富国,1.189,92412999,asset_class,A股宽基指数（名称含「创业板」）,
sz159970,深100ETF工银,1.007,319606,illiquid,当日成交额 32 万 ≤ 2000 万,
sz159968,中证500ETF博时,10.305,6791226,asset_class,A股宽基指数（名称含「中证500」）,
sz159967,创业板成长ETF华夏,0.797,598825909,asset_class,A股宽基指数（名称含「创业板」）,
sz159966,创业板价值ETF华夏,0.521,7390495,asset_class,A股宽基指数（名称含「创业板」）,
sz159965,央视50ETF国联,1.625,93018,illiquid,当日成交额 9 万 ≤ 2000 万,
sz159964,创业板ETF平安,2.238,4805851,asset_class,A股宽基指数（名称含「创业板」）,
sz159961,深100ETF方正富邦,2.164,6451282,illiquid,当日成交额 645 万 ≤ 2000 万,
sz159960,恒生中国企业ETF平安,0.839,2444073,asset_class,海外/地域宽基（名称含「恒生中国」）,
sz159959,央企ETF银华,1.638,352957,illiquid,当日成交额 35 万 ≤ 2000 万,
sz159958,创业板ETF工银,2.068,17822918,asset_class,A股宽基指数（名称含「创业板」）,
sz159957,创业板ETF华夏,2.241,144495442,asset_class,A股宽基指数（名称含「创业板」）,
sz159956,创业板ETF建信,2.165,6105188,asset_class,A股宽基指数（名称含「创业板」）,
sz159954,恒生中国企业ETF南方,0.91,743398,asset_class,海外/地域宽基（名称含「恒生中国」）,
sz159952,创业板ETF广发,2.076,716306573,asset_class,A股宽基指数（名称含「创业板」）,
sz159949,创业板50ETF华安,1.592,1562490528,asset_class,A股宽基指数（名称含「创业板」）,
sz159948,创业板ETF南方,3.777,77706790,asset_class,A股宽基指数（名称含「创业板」）,
sz159945,能源ETF广发,1.38,4357258,illiquid,当日成交额 436 万 ≤ 2000 万,
sz159944,材料ETF广发,1.449,3065910,illiquid,当日成交额 307 万 ≤ 2000 万,
sz159943,深证成指ETF大成,1.522,26808629,asset_class,A股宽基指数（名称含「深证成指」）,
sz159941,纳指ETF广发,1.714,1315862666,asset_class,海外/地域宽基（名称含「纳指」）,
sz159940,金融地产ETF广发,1.226,3553524,illiquid,当日成交额 355 万 ≤ 2000 万,
sz159939,信息技术ETF广发,1.128,24849079,,,信息技术
sz159938,医药ETF广发,0.653,34042890,dedup,同主题「医药·A股」，代表为 sz159992 创新药ETF银华,医药·A股
sz159937,黄金ETF博时,8.838,1015331553,asset_class,商品（名称含「黄金」）,
sz159936,可选消费ETF广发,1.883,618628,illiquid,当日成交额 62 万 ≤ 2000 万,
sz159935,中证500ETF景顺,2.472,3943258,asset_class,A股宽基指数（名称含「中证500」）,
