代码,名称,类别,AUM,日均量,剔除原因,剔除说明,主题
ACES,ALPS Clean Energy ETF,Miscellaneous Sector,109155312.0,64653.0,illiquid,规模 1.09 亿美元 ≤ 2 亿,
AGIX,KraneShares Public-Private AI &,Technology,771405950.0,154141.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
AIPO,Defiance AI & Power Infrastruct,Technology,902248000.0,1226225.0,,,AI电力基建
AIQ,Global X Artificial Intelligenc,Technology,10174134300.0,1809731.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
AIRR,First Trust RBA American Indust,Industrials,9450259500.0,714288.0,,,再工业化
AIS,VistaShares Artificial Intellig,Technology,950883710.0,545622.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
ALAI,Alger AI Enablers & Adopters ET,Technology,1093259650.0,76179.0,illiquid,3 月日均量 7.6 万股 ≤ 10 万股,
ARKF,ARK Blockchain & Fintech Innova,Technology,818739970.0,136276.0,,,金融科技
ARKG,ARK Genomic Revolution ETF,Health,2020345090.0,3731420.0,,,基因治疗
ARKX,ARK Space & Defense Innovation ,Technology,768021440.0,667380.0,,,太空
ARTY,iShares Future AI & Tech ETF,Technology,3960813310.0,517961.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
BAI,iShares A.I. Innovation and Tec,Technology,13980526600.0,3152730.0,,,人工智能
BATT,Amplify Lithium & Battery Techn,Natural Resources,128053712.0,41793.0,illiquid,规模 1.28 亿美元 ≤ 2 亿,
BBC,Virtus Biotech Clinical Trials ,Health,50319076.0,21693.0,illiquid,规模 0.50 亿美元 ≤ 2 亿,
BBRE,JPMorgan BetaBuilders MSCI U.S.,Real Estate,1260180610.0,40923.0,illiquid,3 月日均量 4.1 万股 ≤ 10 万股,
BCTK,Baron Technology ETF,Technology,235082720.0,44539.0,illiquid,3 月日均量 4.5 万股 ≤ 10 万股,
BETZ,Roundhill Sports Betting & iGam,Consumer Cyclical,50436696.0,23950.0,illiquid,规模 0.50 亿美元 ≤ 2 亿,
BILT,iShares Infrastructure Active E,Infrastructure,113349296.0,62109.0,illiquid,规模 1.13 亿美元 ≤ 2 亿,
BIZD,VanEck BDC Income ETF,Financial,1724331140.0,3091225.0,not_carrier,BDC 收益型产品，按分红属性聚合，驱动力是利率与信用利差,
BKGI,BNY Mellon Global Infrastructur,Infrastructure,1576524160.0,466722.0,dedup,同主题「全球基建」，代表为 IGF iShares Global Infrastructure E,全球基建
BOAT,SonicShares Global Shipping ETF,Industrials,97938848.0,42866.0,illiquid,规模 0.98 亿美元 ≤ 2 亿,
BOTT,Themes Humanoid Robotics ETF,Technology,62433488.0,22992.0,illiquid,规模 0.62 亿美元 ≤ 2 亿,
BOTZ,Global X Robotics & Artificial ,Technology,3438523900.0,742034.0,,,机器人
BPRO,Bitwise Proficio Currency Debas,Miscellaneous Sector,0.0,8185.0,illiquid,规模 0.00 亿美元 ≤ 2 亿,
BUG,Global X Cybersecurity ETF,Technology,1732260350.0,1330300.0,dedup,同主题「网络安全」，代表为 CIBR First Trust NASDAQ Cybersecurit,网络安全
CANC,Tema Oncology ETF,Health,211090240.0,33906.0,illiquid,3 月日均量 3.4 万股 ≤ 10 万股,
CCNR,ALPS/CoreCommodity Natural Reso,Natural Resources,471583040.0,33607.0,illiquid,3 月日均量 3.4 万股 ≤ 10 万股,
CGW,Invesco S&P Global Water Index ,Natural Resources,1055542340.0,24669.0,illiquid,3 月日均量 2.5 万股 ≤ 10 万股,
CHAT,Roundhill Generative AI & Techn,Technology,1829867650.0,481450.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
CHPS,Xtrackers Semiconductor Select ,Technology,107060728.0,33350.0,illiquid,规模 1.07 亿美元 ≤ 2 亿,
CHPX,Global X AI Semiconductor & Qua,Technology,119383616.0,67111.0,illiquid,规模 1.19 亿美元 ≤ 2 亿,
CIBR,First Trust NASDAQ Cybersecurit,Technology,16119134200.0,1587073.0,,,网络安全
CLOU,Global X Cloud Computing ETF,Technology,382466336.0,390307.0,dedup,同主题「云计算」，代表为 SKYY First Trust Cloud Computing ETF,云计算
COAL,Range Global Coal Index ETF,Equity Energy,58910828.0,39092.0,illiquid,规模 0.59 亿美元 ≤ 2 亿,
COPJ,Sprott Junior Copper Miners ETF,Natural Resources,182177760.0,75511.0,illiquid,规模 1.82 亿美元 ≤ 2 亿,
