代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,主题,RS5,RS20,RS60,基准
SOXX,iShares PHLX SOX Semiconductor ,2026-09-21,559.34,12.53,7.63,-10.48,75.4,-14.55,515.71,535.19,均线纠缠偏多,0.74,3761848659.1690063,500,半导体,100.0,97.0,19.7,False
DRAM,Roundhill Memory ETF,2026-09-21,61.58,12.37,6.76,-19.91,63.9,-23.71,57.39,57.23,多头排列,0.44,1641080875.048256,118,存储芯片,98.5,95.5,4.5,False
EUV,Corgi Lithography & Semiconduct,2026-09-21,24.4,10.81,-0.77,-18.18,32.9,-23.7,23.43,24.98,均线纠缠偏空,0.34,12368682.190618517,95,半导体设备,97.0,66.7,7.6,False
ARKG,ARK Genomic Revolution ETF,2026-09-21,51.81,10.71,4.77,29.17,100.0,0.0,48.1,43.86,多头排列,1.69,204481124.886322,500,基因治疗,95.5,89.4,97.0,False
TRFK,Pacer Data and Digital Revoluti,2026-09-21,101.99,10.45,8.9,-3.77,82.3,-8.24,94.79,95.08,均线纠缠偏多,1.02,12591791.46457672,500,数据革命,93.9,100.0,37.9,False
BAI,iShares A.I. Innovation and Tec,2026-09-21,46.93,9.75,5.94,-8.77,68.3,-13.46,44.14,44.81,均线纠缠偏多,0.66,102285726.18881226,479,人工智能,92.4,90.9,24.2,False
QTUM,Defiance Quantum ETF,2026-09-21,153.04,7.17,1.71,-4.49,77.6,-9.16,147.05,148.95,均线纠缠偏多,0.55,38398851.16592407,500,量子计算,90.9,78.8,36.4,False
AIPO,Defiance AI & Power Infrastruct,2026-09-21,29.06,5.94,0.52,-12.23,57.7,-16.42,28.44,29.6,均线纠缠偏空,0.78,33870192.13115692,291,AI电力基建,89.4,72.7,12.1,False
XLK,State Street Technology Select ,2026-09-21,194.85,5.86,6.42,5.69,95.9,-1.46,185.75,183.18,多头排列,0.92,1237927612.2935486,500,科技综合,87.9,93.9,71.2,False
DTCR,Global X Data Center & Digital ,2026-09-21,28.69,5.4,1.31,-7.32,71.5,-11.29,27.98,28.29,均线纠缠偏多,0.53,17280705.84213257,500,数据中心REIT,86.4,77.3,28.8,False
GRID,First Trust NASDAQ Clean Edge S,2026-09-21,181.08,4.68,0.08,-4.82,66.5,-9.0,178.08,181.22,均线纠缠偏空,0.86,85999412.78289795,500,智能电网,84.8,71.2,34.8,False
QQQ,纳斯达克100,2026-09-21,741.47,4.66,4.04,3.61,98.3,-0.42,713.93,711.12,多头排列,1.05,22903922010.429382,500,基准·QQQ,83.3,86.4,57.6,True
ARKX,ARK Space & Defense Innovation ,2026-09-21,32.9,3.95,-1.05,3.07,59.7,-12.82,32.16,32.35,均线纠缠偏多,0.56,13043864.18305397,500,太空,81.8,63.6,56.1,False
SKYY,First Trust Cloud Computing ETF,2026-09-21,168.21,3.34,4.33,32.95,98.9,-0.41,161.73,150.62,多头排列,0.67,36962540.09712219,500,云计算,80.3,87.9,98.5,False
