代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数
AGIX,KraneShares Public-Private AI &,2026-09-21,48.19,7.47,7.45,6.9,93.3,-2.45,45.4,44.68,多头排列,0.49,6243819.86038208,500
AIPO,Defiance AI & Power Infrastruct,2026-09-21,29.06,5.94,0.52,-12.23,57.7,-16.42,28.44,29.6,均线纠缠偏空,0.78,33870192.13115692,291
AIQ,Global X Artificial Intelligenc,2026-09-21,66.31,4.47,4.54,3.32,84.9,-5.46,63.8,62.43,多头排列,0.62,70149148.0698967,500
AIRR,First Trust RBA American Indust,2026-09-21,106.41,1.56,-7.69,-19.94,36.5,-20.14,107.91,117.52,空头排列,1.05,92305888.73413086,500
AIS,VistaShares Artificial Intellig,2026-09-21,74.9,13.04,8.98,-10.82,75.0,-15.28,69.21,70.26,均线纠缠偏多,0.91,27966947.199249268,450
ARKF,ARK Blockchain & Fintech Innova,2026-09-21,47.5,2.3,3.89,25.1,50.2,-19.17,45.85,43.07,多头排列,0.69,5582293.744869232,500
ARKG,ARK Genomic Revolution ETF,2026-09-21,51.81,10.71,4.77,29.17,100.0,0.0,48.1,43.86,多头排列,1.69,204481124.88632202,500
ARKX,ARK Space & Defense Innovation ,2026-09-21,32.9,3.95,-1.05,3.07,59.7,-12.82,32.16,32.35,均线纠缠偏多,0.56,13043864.18305397,500
ARTY,iShares Future AI & Tech ETF,2026-09-21,78.57,8.22,5.93,5.1,94.2,-2.64,74.63,72.16,多头排列,0.73,30103490.88245392,500
BAI,iShares A.I. Innovation and Tec,2026-09-21,46.93,9.75,5.94,-8.77,68.3,-13.46,44.14,44.81,均线纠缠偏多,0.66,102285726.18881226,479
BIZD,VanEck BDC Income ETF,2026-09-21,13.17,0.69,-0.9,9.58,69.6,-4.68,13.24,12.92,均线纠缠偏多,0.69,36606747.91745186,500
BKGI,BNY Mellon Global Infrastructur,2026-09-21,43.51,-0.14,-2.44,-3.01,70.9,-5.62,44.15,44.69,空头排列,4.58,38233608.68597031,500
BOTZ,Global X Robotics & Artificial ,2026-09-21,35.82,3.05,-0.61,-2.11,39.9,-13.91,35.38,35.93,均线纠缠偏空,0.67,22637755.42629242,500
BUG,Global X Cybersecurity ETF,2026-09-21,45.97,3.75,13.09,34.14,100.0,0.0,42.39,40.82,多头排列,1.57,66429278.27486038,500
CHAT,Roundhill Generative AI & Techn,2026-09-21,93.59,9.92,6.35,-4.29,78.5,-10.07,87.92,87.98,均线纠缠偏多,0.59,23738260.586242676,500
CIBR,First Trust NASDAQ Cybersecurit,2026-09-21,103.09,3.04,8.69,23.22,100.0,0.0,97.08,94.6,多头排列,1.35,164075857.70145416,500
CLOU,Global X Cloud Computing ETF,2026-09-21,28.93,2.05,3.14,36.98,98.4,-0.62,27.97,26.11,多头排列,0.54,8719601.019029617,500
COPP,Sprott Copper Miners ETF,2026-09-21,42.95,3.15,-5.94,13.87,81.2,-8.46,43.98,40.93,均线纠缠偏多,0.64,4407789.62934494,500
COPX,Global X Copper Miners ETF,2026-09-21,87.49,2.18,-7.51,14.78,79.5,-9.29,90.69,83.92,均线纠缠偏多,0.74,283564507.5802994,500
CRAK,VanEck Oil Refiners ETF,2026-09-21,64.87,0.65,6.36,42.29,95.0,-2.39,63.25,57.0,多头排列,2.12,37768936.48309708,500
CSRE,Cohen & Steers Real Estate Acti,2026-09-21,27.79,-0.04,-4.3,-3.21,59.4,-6.96,28.32,28.82,空头排列,0.79,3177305.642824173,408
DFAR,Dimensional US Real Estate ETF,2026-09-21,25.27,-0.63,-4.57,-4.17,56.2,-7.77,25.79,26.36,空头排列,0.73,81496341.84084892,500
DRAM,Roundhill Memory ETF,2026-09-21,61.58,12.37,6.76,-19.91,63.9,-23.71,57.39,57.23,多头排列,0.44,1641080875.048256,118
DTCR,Global X Data Center & Digital ,2026-09-21,28.69,5.4,1.31,-7.32,71.5,-11.29,27.98,28.29,均线纠缠偏多,0.53,17280705.84213257,500
EUAD,Select STOXX Europe Aerospace &,2026-09-21,43.31,2.65,-6.09,4.77,53.3,-10.29,43.8,44.18,空头排列,0.79,4591676.490116119,479
EUV,Corgi Lithography & Semiconduct,2026-09-21,24.4,10.81,-0.77,-18.18,32.9,-23.7,23.43,24.98,均线纠缠偏空,0.34,12368682.190618515,95
FCG,First Trust Natural Gas ETF,2026-09-21,29.82,-5.93,-5.33,11.43,75.1,-8.4,31.27,29.39,均线纠缠偏多,1.75,27779652.947416306,500
FCOM,Fidelity MSCI Communication Ser,2026-09-21,74.43,1.17,6.27,10.26,91.9,-1.09,71.51,70.71,多头排列,1.12,19704116.47064209,500
FDN,First Trust DJ Internet Index F,2026-09-21,296.85,1.41,3.54,16.27,100.0,0.0,289.98,280.73,多头排列,0.7,42300095.73410034,500
FENY,Fidelity MSCI Energy Index ETF,2026-09-21,34.46,-2.91,-1.87,15.45,86.1,-5.07,35.29,33.16,均线纠缠偏多,1.06,33906588.5392952,500
FHLC,Fidelity MSCI Health Care Index,2026-09-21,81.95,0.94,-2.9,8.61,86.1,-3.5,82.25,80.4,均线纠缠偏多,1.02,23660698.07659149,500
FIDU,Fidelity MSCI Industrials Index,2026-09-21,90.26,0.26,-5.4,-8.62,58.2,-9.18,91.86,95.16,空头排列,5.32,20224559.188728333,500
FNCL,Fidelity MSCI Financials Index ,2026-09-21,79.35,-1.79,-2.77,4.47,76.6,-4.4,81.17,80.61,均线纠缠偏空,1.88,10682507.952728271,500
FREL,Fidelity MSCI Real Estate Index,2026-09-21,28.21,-0.58,-4.87,-3.68,51.6,-7.25,28.81,29.39,空头排列,0.82,6959569.508199692,500
FSTA,Fidelity MSCI COnsumer Staples ,2026-09-21,51.64,-2.15,-3.91,-1.97,51.1,-7.73,52.84,53.13,空头排列,1.39,7249034.105606079,500
FTEC,Fidelity MSCI Information Techn,2026-09-21,299.4,5.38,6.06,8.66,99.5,-0.15,286.49,281.21,多头排列,0.94,63213216.41143799,500
FTXH,First Trust Nasdaq Pharmaceutic,2026-09-21,41.37,1.59,-2.11,11.43,91.1,-3.26,41.42,39.97,均线纠缠偏多,0.05,2694640.48248291,500
FTXL,First Trust Nasdaq Semiconducto,2026-09-21,247.92,12.22,9.62,-12.3,73.7,-16.53,226.93,234.33,均线纠缠偏多,0.58,28800472.53036499,500
FTXR,First Trust Nasdaq Transportati,2026-09-21,42.27,-1.98,-5.57,-6.88,71.8,-7.64,43.25,44.42,空头排列,0.51,1677819.0784454346,500
FUTY,Fidelity MSCI Utilities Index E,2026-09-21,52.55,-1.94,-4.19,-10.43,0.0,-12.68,54.43,56.38,空头排列,1.49,24158528.768672943,500
FXL,First Trust Technology AlphaDEX,2026-09-21,221.18,4.31,3.1,5.46,94.8,-1.66,213.94,209.82,多头排列,0.14,4479902.401351929,500
FXN,First Trust Energy AlphaDEX Fun,2026-09-21,22.83,-4.08,-3.26,11.8,83.5,-6.24,23.68,22.32,均线纠缠偏多,0.32,10934602.352895737,500
FXU,First Trust Utilities AlphaDEX ,2026-09-21,45.23,-1.74,-4.7,-8.98,21.9,-11.5,46.76,48.32,空头排列,0.66,8821689.671783447,500
GDX,VanEck Gold Miners ETF,2026-09-21,94.43,0.31,-8.17,24.79,55.4,-18.48,98.21,86.31,均线纠缠偏多,0.96,2159647972.138748,500
GDXJ,VanEck Junior Gold Miners ETF,2026-09-21,122.68,1.48,-7.47,25.31,52.5,-21.45,127.09,112.23,均线纠缠偏多,0.83,521318315.46245575,500
GNR,State Street SPDR S&P Global Na,2026-09-21,76.41,-1.52,-3.6,12.82,85.6,-4.3,78.36,73.83,均线纠缠偏多,4.0,40920196.31656647,500
GPZ,VanEck Alternative Asset Manage,2026-09-21,22.69,-1.3,-9.28,6.73,27.5,-22.6,23.9,23.57,均线纠缠偏空,1.02,4104780.171890259,325
GRID,First Trust NASDAQ Clean Edge S,2026-09-21,181.08,4.68,0.08,-4.82,66.5,-9.0,178.08,181.22,均线纠缠偏空,0.86,85999412.78289795,500
GUNR,Northern Trust Morningstar Glob,2026-09-21,54.34,-2.22,-3.91,10.74,81.4,-5.02,56.04,53.09,均线纠缠偏多,0.64,17559636.45635605,500
HACK,Amplify Cybersecurity ETF,2026-09-21,122.98,3.73,10.18,27.74,100.0,0.0,114.21,111.65,多头排列,1.76,39107076.26613617,500
IAK,iShares U.S. Insurance ETF,2026-09-21,141.34,-2.63,-1.51,3.03,65.4,-6.73,144.07,144.95,空头排列,0.45,14389609.624023438,500
IAT,iShares U.S. Regional Banks ETF,2026-09-21,59.76,-3.25,-3.56,-3.5,70.8,-8.45,61.32,62.65,空头排列,0.98,9150810.002880096,500
IBB,iShares Biotechnology ETF,2026-09-21,207.16,1.26,-2.99,12.8,87.5,-4.51,208.67,198.99,均线纠缠偏多,0.95,305965980.5882263,500
ICF,iShares Select U.S. REIT ETF,2026-09-21,65.08,-0.38,-4.45,-4.14,59.2,-6.93,66.36,67.65,空头排列,4.63,18029827.94128418,500
ICLN,iShares Global Clean Energy ETF,2026-09-21,17.8,1.37,1.19,-12.27,32.4,-24.85,17.64,18.21,均线纠缠偏空,0.81,125762267.00993538,500
ICOP,iShares Copper and Metals Minin,2026-09-21,54.97,1.96,-7.37,12.18,77.6,-9.72,56.99,53.01,均线纠缠偏多,0.82,8443688.368320465,500
IDEF,iShares Defense Industrials and,2026-09-21,32.19,1.83,-4.08,3.91,43.3,-12.38,32.31,32.74,空头排列,1.07,15033273.165798187,335
IDU,iShares U.S. Utilities ETF,2026-09-21,103.68,-2.21,-4.27,-10.03,0.0,-12.63,107.42,111.15,空头排列,3.8,18436742.640838623,500
IEZ,iShares U.S. Oil Equipment & Se,2026-09-21,27.97,-1.18,-5.47,2.28,70.3,-13.51,29.47,28.37,均线纠缠偏空,0.61,6055859.929828644,500
IFRA,iShares U.S. Infrastructure ETF,2026-09-21,56.4,-1.31,-5.12,-11.57,46.9,-11.57,58.2,60.24,空头排列,0.48,16586118.468914032,500
IGE,iShares North American Natural ,2026-09-21,63.58,-1.83,-3.81,11.83,86.5,-4.16,65.37,61.53,均线纠缠偏多,1.15,14665615.02910614,500
IGF,iShares Global Infrastructure E,2026-09-21,63.33,-0.09,-3.18,-5.93,47.5,-7.42,64.53,65.89,空头排列,1.13,49237391.34531021,500
IGM,iShares Expanded Tech Sector ET,2026-09-21,169.32,5.54,6.6,6.95,97.3,-0.9,160.99,159.23,多头排列,1.63,49611020.41358948,500
IGPT,Invesco AI and Next Gen Softwar,2026-09-21,102.95,10.7,12.06,0.01,90.5,-4.77,93.97,93.3,多头排列,0.76,12510052.787704468,500
IGV,iShares Expanded Tech-Software ,2026-09-21,107.13,0.46,3.64,26.39,76.6,-8.48,104.96,98.97,多头排列,0.66,1088955472.8205109,500
IHAK,iShares Cybersecurity and Tech ,2026-09-21,67.78,2.39,6.82,22.97,97.9,-0.85,64.3,63.4,多头排列,0.91,9147713.15284729,500
IHE,iShares U.S. Pharmaceutical ETF,2026-09-21,102.24,0.7,-4.0,6.86,85.9,-5.21,103.23,102.19,均线纠缠偏多,0.58,18532693.568878174,500
IHF,iShares U.S. Health Care Provid,2026-09-21,55.86,-2.83,-1.71,2.83,87.6,-3.65,56.9,56.69,均线纠缠偏空,1.33,34834235.57209015,500
IHI,iShares U.S. Medical Devices ET,2026-09-21,51.95,0.33,-7.37,3.75,27.1,-19.03,53.14,52.74,均线纠缠偏空,1.2,133868395.5166626,500
ITA,iShares U.S. Aerospace & Defens,2026-09-21,216.14,-0.18,-8.83,-8.84,33.3,-14.54,223.31,235.85,空头排列,1.36,173239356.07505798,500
ITB,iShares U.S. Home Construction ,2026-09-21,88.2,-1.23,-8.77,-14.68,10.5,-21.4,91.58,95.66,空头排列,1.07,180476627.20870972,500
IVES,Dan IVES Wedbush AI Revolution ,2026-09-21,41.45,4.65,7.08,15.52,98.1,-0.67,39.4,38.15,多头排列,1.05,12240843.154697418,326
IXC,iShares Global Energy ETF,2026-09-21,57.65,-2.78,-1.4,15.6,86.5,-4.84,58.65,55.42,均线纠缠偏多,0.67,33226870.192642212,500
IXJ,iShares Global Healthcare ETF,2026-09-21,103.18,0.89,-3.43,6.52,81.5,-4.0,103.81,101.93,均线纠缠偏多,1.49,22370523.22227478,500
IXN,iShares Global Tech ETF,2026-09-21,147.9,6.23,6.05,5.3,96.9,-1.11,141.14,138.82,多头排列,1.32,53420261.64718628,500
IYE,iShares U.S. Energy ETF,2026-09-21,65.84,-2.87,-1.69,15.17,86.3,-4.92,67.31,63.36,均线纠缠偏多,1.01,52443143.548698425,500
IYF,iShares U.S. Financial ETF,2026-09-21,132.31,-1.67,-2.53,4.0,75.4,-4.48,135.19,134.37,均线纠缠偏空,1.09,52037186.92436218,500
IYH,iShares U.S. Healthcare ETF,2026-09-21,71.61,1.32,-2.82,9.36,86.2,-3.4,71.69,69.89,均线纠缠偏多,1.1,46109653.9617157,500
IYJ,iShares U.S. Industrials ETF,2026-09-21,156.52,0.02,-4.9,-4.76,58.8,-7.68,159.31,163.12,空头排列,2.17,34389339.50462341,500
IYK,iShares U.S. Consumer Staples E,2026-09-21,71.91,-2.78,-3.96,-0.78,62.3,-6.11,73.96,73.98,空头排列,0.73,11258862.671203613,500
IYM,iShares U.S. Basic Materials ET,2026-09-21,181.49,-0.64,-6.69,0.16,75.5,-7.32,188.75,183.45,均线纠缠偏空,0.87,42560382.000198364,500
IYR,iShares U.S. Real Estate ETF,2026-09-21,98.9,-0.64,-4.87,-3.36,49.8,-7.11,101.06,102.9,空头排列,1.11,543835452.2714233,500
IYT,iShares U.S. Transportation ETF,2026-09-21,79.86,-3.15,-8.03,-7.62,55.4,-11.08,83.24,85.81,空头排列,1.88,65317937.92675018,500
IYW,iShares U.S. Technology ETF,2026-09-21,264.46,5.34,6.98,8.41,100.0,0.0,251.61,247.65,多头排列,1.04,136864401.01287842,500
IYZ,iShares U.S. Telecommunications,2026-09-21,42.45,0.56,-0.95,2.57,79.1,-6.9,42.56,41.98,均线纠缠偏多,0.69,32741384.783096313,500
JETS,U.S. Global Jets ETF,2026-09-21,29.01,2.95,-1.89,-12.04,55.0,-13.48,28.58,30.58,均线纠缠偏空,1.92,112960986.19548798,500
JTEK,JPMorgan U.S. Tech Leaders ETF,2026-09-21,104.74,4.8,4.76,-1.48,80.9,-6.11,100.1,100.56,均线纠缠偏多,0.81,26352342.124900818,500
KBE,State Street SPDR S&P Bank ETF,2026-09-21,66.07,-2.49,-3.34,-2.6,70.2,-7.29,67.57,68.67,空头排列,0.96,85012664.22153473,500
KBWB,Invesco KBW Bank ETF,2026-09-21,92.36,-2.31,-2.92,-1.97,74.9,-6.89,94.92,95.73,空头排列,1.48,150317509.9516678,500
KBWD,Invesco KBW High Dividend Yield,2026-09-21,11.68,-1.04,-5.21,-0.13,18.3,-12.29,12.07,12.07,均线纠缠偏空,1.1,4826082.592563629,500
KBWY,Invesco KBW Premium Yield Equit,2026-09-21,17.17,-1.25,-4.79,-4.24,67.6,-8.73,17.62,18.0,空头排列,1.08,3694945.75671196,500
KIE,State Street SPDR S&P Insurance,2026-09-21,61.39,-2.9,-2.9,4.13,62.8,-7.34,62.94,63.34,空头排列,1.11,72184284.03793335,500
KOID,KraneShares Global Humanoid Rob,2026-09-21,36.21,4.32,-1.84,-10.28,55.0,-16.3,35.82,37.44,均线纠缠偏空,0.74,5194946.213760376,325
KRE,State Street SPDR S&P Regional ,2026-09-21,71.99,-2.31,-3.29,-3.17,73.4,-7.1,73.44,74.84,空头排列,1.22,906972332.6672745,500
KXI,iShares Global Consumer Staples,2026-09-21,66.71,-2.31,-3.46,-2.08,44.6,-8.23,68.07,68.54,空头排列,2.69,8056690.479736328,500
LIT,Global X Lithium & Battery Tech,2026-09-21,70.83,1.23,-7.54,-9.33,47.0,-22.36,73.48,72.77,均线纠缠偏空,0.49,20117784.07093048,500
MAGS,Roundhill Magnificent Seven ETF,2026-09-21,72.97,4.09,8.46,19.49,100.0,0.0,69.33,67.42,多头排列,1.29,243808490.50876617,500
MGNR,American Beacon Select Funds Am,2026-09-21,52.09,-1.77,-6.44,6.8,76.0,-7.45,54.41,51.4,均线纠缠偏多,1.19,23775368.105793,500
MOO,VanEck Agribusiness ETF,2026-09-21,84.03,-2.65,-1.36,5.98,77.3,-5.42,86.21,83.17,均线纠缠偏多,1.19,41110413.72203827,500
MORT,VanEck Mortgage REIT Income ETF,2026-09-21,9.12,-1.83,-7.88,-6.4,5.9,-13.7,9.55,9.76,空头排列,1.39,10517968.368768692,500
MSOS,AdvisorShares Pure US Cannabis ,2026-09-21,4.94,0.41,-0.4,6.93,52.7,-26.16,4.93,4.65,多头排列,0.75,21182726.117572784,500
